SMILES,HOMO,LUMO,RedoxPotential,Inchi-Key
Clc1ccc(s1)[C@]1(Cl)N=N1,-0.25242,-0.09676,1.91,ONPGEIUMHHZZCE-UHFFFAOYSA-N
O=Cn1c(F)ccc1[C@]1(F)N=N1,-0.26362,-0.09563,2.05,HRXWXWRBQHFEGV-UHFFFAOYSA-N
Fc1c[nH]c(c1)[C@]1(F)N=N1,-0.24309,-0.09599,1.7,IWVXIWKJGKSKOI-UHFFFAOYSA-N
FC(c1ccc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27468,-0.10556,2.56,LCACDFZXNYCPLI-UHFFFAOYSA-N
FC(c1nnc(nn1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29281,-0.14358,3.11,VGRNIPXRSAUBAG-UHFFFAOYSA-N
FC#C[C@]1(F)N=N1,-0.29336,-0.10045,3.13,QKYLSUBBLFIOOP-UHFFFAOYSA-N
S/C=C/[C@]1(S)N=N1,-0.24905,-0.08587,1.81,CAFKTMYBPSXEGJ-UHFFFAOYSA-N
FC(OC1=CC=C(C1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.24228,-0.09439,1.61,HAFABZVPDVGUEG-UHFFFAOYSA-N
[O-][N+](=O)c1ccc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-0.27630,-0.12320,2.56,XEMSEOUSOFZWHP-UHFFFAOYSA-N
N1=N[C@@H]1c1nncnn1,-0.27131,-0.12303,2.4,MRVDIWCRWWNSIW-UHFFFAOYSA-N
Cn1c(O)ccc1[C@]1(O)N=N1,-0.21799,-0.07834,0.86,AJYDRTUPDXCAEO-UHFFFAOYSA-N
c1ccc(nc1)[C@@H]1N=N1,-0.26809,-0.08307,2.38,BESIOADPVLCNLJ-UHFFFAOYSA-N
FC(c1ccc(o1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27291,-0.10517,2.53,JOLFDAPIXAOLBO-UHFFFAOYSA-N
C1=CC=C(C1)[C@@H]1N=N1,-0.22791,-0.07517,1.3,IRLLACSCVLEIRY-UHFFFAOYSA-N
FC(Oc1ccc(cc1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27863,-0.10116,2.42,FQGZIJRZZHHLSR-UHFFFAOYSA-N
N#Cc1ccc(o1)[C@]1(C#N)N=N1,-0.27183,-0.10985,2.52,HAWOUKVUFDMLAZ-UHFFFAOYSA-N
Fc1cnc(o1)[C@]1(F)N=N1,-0.27390,-0.10446,2.56,SVXOPIFUBPCZBP-UHFFFAOYSA-N
N#CC1=CC=C(S1(=O)=O)[C@]1(C#N)N=N1,-0.29407,-0.13728,3.07,JKSPOQSFDZEWKR-UHFFFAOYSA-N
N#Cc1cnc(nc1)[C@]1(C#N)N=N1,-0.30766,-0.11190,3.47,IVHABPXNRDSPPZ-UHFFFAOYSA-N
Clc1ccc([nH]1)[C@]1(Cl)N=N1,-0.23767,-0.09399,1.52,HHJMACYXOVCELS-UHFFFAOYSA-N
CC1=CC=C(C1)[C@]1(C)N=N1,-0.21864,-0.07158,0.99,PJDRKFLCSCGOHC-UHFFFAOYSA-N
N#CC1=CC=C(C1)[C@]1(C#N)N=N1,-0.25858,-0.10660,2.11,JYZQXRHBUAUYQT-UHFFFAOYSA-N
Clc1ccc(nc1)[C@]1(Cl)N=N1,-0.27358,-0.09417,2.52,OIVCIIIOGKTWCM-UHFFFAOYSA-N
FC(c1cnc(o1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29551,-0.11031,3.12,PWDIGGBJHKNYRL-UHFFFAOYSA-N
Fc1cnc(s1)[C@]1(F)N=N1,-0.27064,-0.10090,2.4,GMTCRTFSEOXKQA-UHFFFAOYSA-N
Sc1cnc(o1)[C@]1(S)N=N1,-0.25912,-0.09430,1.77,FGCAMFSWDLDFOV-UHFFFAOYSA-N
Sc1c[nH]c(c1)[C@]1(S)N=N1,-0.23675,-0.08429,1.15,ULXCQBAOMKNJKG-UHFFFAOYSA-N
N#Cc1cnc(o1)[C@]1(C#N)N=N1,-0.29229,-0.11607,3.04,MPSQKFNIENVJSP-UHFFFAOYSA-N
Sc1ccc([nH]1)[C@]1(S)N=N1,-0.23607,-0.08462,1.06,JNAVYPURJQGPHQ-UHFFFAOYSA-N
c1coc(n1)[C@@H]1N=N1,-0.26371,-0.08695,2.25,NRBURGVTCFDSMW-UHFFFAOYSA-N
Oc1csc(n1)[C@]1(O)N=N1,-0.24574,-0.08852,1.73,AMAZYTRMFZCCHA-UHFFFAOYSA-N
Cc1coc(n1)[C@]1(C)N=N1,-0.25367,-0.08301,1.95,HEMWNHDBVGXLBD-UHFFFAOYSA-N
Fc1nnc(nn1)[C@]1(F)N=N1,-0.29348,-0.14209,3.03,KTOKHRZFCPOKGT-UHFFFAOYSA-N
N#Cc1ccc(nc1)[C@]1(C#N)N=N1,-0.29254,-0.10633,3.03,DWBKTFMANYMNOE-UHFFFAOYSA-N
c1ccc(cc1)[C@@H]1N=N1,-0.25608,-0.07832,2.05,DCXIMRSHMXAVHX-UHFFFAOYSA-N
FC(/N=C\[C@@]1(N=N1)C(F)(F)F)(F)F,-0.33692,-0.10978,,FITMBBCBNRWXHU-UHFFFAOYSA-N
F/N=C/[C@]1(F)N=N1,-0.31553,-0.10645,3.63,HXOHUUAUAWGCPJ-UHFFFAOYSA-N
Sc1cnc(s1)[C@]1(S)N=N1,-0.25579,-0.09446,1.71,YHMJOMCVSOIKEK-UHFFFAOYSA-N
Sc1csc(n1)[C@]1(S)N=N1,-0.24254,-0.09424,1.73,ZIMFFDPFFRNYRT-UHFFFAOYSA-N
N#Cc1nnc(nn1)[C@]1(C#N)N=N1,-0.29712,-0.14725,3.1,MWICKHZZMVWCRX-UHFFFAOYSA-N
CC#C[C@]1(C)N=N1,-0.26120,-0.07684,2.18,ODYMXNQLQHWXCU-UHFFFAOYSA-N
FC(Oc1ccc(s1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.26516,-0.10356,2.08,SDMPXCJIDHXODL-UHFFFAOYSA-N
O=Cn1c(ccc1[C@@]1(N=N1)[N+](=O)[O-])[N+](=O)[O-],-0.29672,-0.12654,3.0,SLXWWCJUMOAGIY-UHFFFAOYSA-N
FC(Oc1ccc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.24890,-0.09852,1.63,UAPPNQRQLFMKPW-UHFFFAOYSA-N
Cn1cccc1[C@@H]1N=N1,-0.22553,-0.07379,1.2,YIJONLONYQMHSA-UHFFFAOYSA-N
O=Cn1c(ccc1[C@@]1(N=N1)OC(F)(F)F)OC(F)(F)F,-0.27296,-0.09914,2.07,SGEDLNHIPIUMPX-UHFFFAOYSA-N
[O-][N+](=O)c1ncc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-0.28988,-0.12822,2.92,XHSAZBNXKNIAKB-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(o1)[C@@]1(N=N1)[N+](=O)[O-],-0.28960,-0.12258,2.96,FXMWRYKXOWLGDD-UHFFFAOYSA-N
O=S1(=O)C=CC=C1[C@@H]1N=N1,-0.27100,-0.09978,2.4,HTUIZLGTZNAKJD-UHFFFAOYSA-N
N#Cc1ccc(n1C)[C@]1(C#N)N=N1,-0.26290,-0.10580,2.1,ZCCJIBBNUAQCGM-UHFFFAOYSA-N
FC(Oc1ccc(o1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.26282,-0.10264,2.01,NXTDUJHUOIEOGF-UHFFFAOYSA-N
Fc1csc(n1)[C@]1(F)N=N1,-0.27142,-0.10301,2.44,AZBXYFYSDQYJMH-UHFFFAOYSA-N
Oc1c[nH]c(c1)[C@]1(O)N=N1,-0.22128,-0.08123,1.09,QJUQJENBCHEYPA-UHFFFAOYSA-N
[O-][N+](=O)c1nnc(nn1)[C@@]1(N=N1)[N+](=O)[O-],-0.30592,-0.15237,,RTKQMRDYRUDRPH-UHFFFAOYSA-N
FC(c1ccc([nH]1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.25911,-0.10071,2.15,LYZUWPBJNDWQPW-UHFFFAOYSA-N
FC(O/C=C\[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27899,-0.10130,2.57,WHSJFSWUVLXVTP-UHFFFAOYSA-N
OC1=CC=C(S1(=O)=O)[C@]1(O)N=N1,-0.25586,-0.09305,1.96,ZMOTYASAHAZYIC-UHFFFAOYSA-N
ClC1(Cl)N=N1,-0.30666,-0.10714,3.35,QPTZFMQMXPAMTJ-UHFFFAOYSA-N
Oc1ccc([nH]1)[C@]1(O)N=N1,-0.21468,-0.08107,0.96,QNWOQZDYGZWNDX-UHFFFAOYSA-N
C/N=C\[C@]1(C)N=N1,-0.27647,-0.07332,2.47,DVAGMTYTUNLFFX-UHFFFAOYSA-N
[O-][N+](=O)C#C[C@@]1(N=N1)[N+](=O)[O-],-0.33937,-0.13949,4.37,DAONYSZAHZJLDU-UHFFFAOYSA-N
Cl/C=C/[C@]1(Cl)N=N1,-0.27239,-0.09871,2.46,VEECYVLRWODZDX-UHFFFAOYSA-N
FC(Oc1c[nH]c(c1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.25118,-0.09927,1.9,QYSTXMPTSZPMOO-UHFFFAOYSA-N
Cn1c(ccc1[C@@]1(N=N1)OC(F)(F)F)OC(F)(F)F,-0.25461,-0.09797,1.59,SDSNBBBFQQHLOR-UHFFFAOYSA-N
Sc1ccc(cc1)[C@]1(S)N=N1,-0.23695,-0.08637,1.63,SOFBEOXOLCTREZ-UHFFFAOYSA-N
O=Cn1c(O)ccc1[C@]1(O)N=N1,-0.23571,-0.08016,1.34,IICZEFZGYNNLFJ-UHFFFAOYSA-N
Cc1cnc(nc1)[C@]1(C)N=N1,-0.26859,-0.07751,2.34,BQPNWYIZAOQKMY-UHFFFAOYSA-N
FC(Oc1cnc(o1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.28349,-0.10739,2.54,MJFIVXQILNDVGB-UHFFFAOYSA-N
FC(Oc1ncc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.25957,-0.10121,2.08,BKDVNRQEULOUNV-UHFFFAOYSA-N
FC(C#C[C@@]1(N=N1)C(F)(F)F)(F)F,-0.31868,-0.11204,3.81,HRZMDDNONNZLPA-UHFFFAOYSA-N
Oc1cnc(s1)[C@]1(O)N=N1,-0.24754,-0.08904,1.78,RQGLBMPNSGCWTR-UHFFFAOYSA-N
N#Cc1ccc([nH]1)[C@]1(C#N)N=N1,-0.25882,-0.10971,2.15,WLVHCSKIOYXRPQ-UHFFFAOYSA-N
FC(Oc1nnc(nn1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.29124,-0.14107,2.96,ZCGJCECGLFKXDQ-UHFFFAOYSA-N
O/C=C\[C@]1(O)N=N1,-0.24403,-0.08516,1.74,KQKHCXXGPHCGAE-UHFFFAOYSA-N
Sc1ncc([nH]1)[C@]1(S)N=N1,-0.23288,-0.08620,1.45,MSRWQLFVIGKNSX-UHFFFAOYSA-N
Oc1nnc(nn1)[C@]1(O)N=N1,-0.28220,-0.13085,2.8,DOKRBLLIFIJKEE-UHFFFAOYSA-N
Cc1ccc(nc1)[C@]1(C)N=N1,-0.25619,-0.07905,2.01,JVZBYQGPMAXYPW-UHFFFAOYSA-N
FC(c1csc(n1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.28845,-0.10501,2.86,YQIKJLLDZVYCCL-UHFFFAOYSA-N
Cc1ccc(cc1)[C@]1(C)N=N1,-0.24592,-0.07448,1.7,LXHXWLVOOIBPLU-UHFFFAOYSA-N
FC(Oc1csc(n1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27465,-0.10555,2.37,ODFHAZRMMQYUMA-UHFFFAOYSA-N
FC(OC1(N=N1)OC(F)(F)F)(F)F,-0.33562,-0.11616,2.42,XDGAJCODVAFQOH-UHFFFAOYSA-N
N#Cc1ncc([nH]1)[C@]1(C#N)N=N1,-0.27414,-0.11330,2.57,CNTZVJORLKGWJZ-UHFFFAOYSA-N
c1csc(n1)[C@@H]1N=N1,-0.26138,-0.08720,2.15,MLVPVDPNMXZHAL-UHFFFAOYSA-N
FC(c1cnc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.30534,-0.10567,3.59,AWZZBLPXDOHIMP-UHFFFAOYSA-N
Clc1nnc(nn1)[C@]1(Cl)N=N1,-0.28662,-0.13750,2.78,XYURNJUMVFIFBP-UHFFFAOYSA-N
OC1(O)N=N1,-0.28536,-0.08540,2.55,AXKLERBIHDLHAI-UHFFFAOYSA-N
FC(Oc1cnc(nc1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.30111,-0.10379,3.2,HIRLFXMJOOSGRN-UHFFFAOYSA-N
N#Cc1ccc(cc1)[C@]1(C#N)N=N1,-0.28330,-0.10852,2.8,SOGJZNGOKNSNJN-UHFFFAOYSA-N
Clc1ccc(cc1)[C@]1(Cl)N=N1,-0.26485,-0.09679,2.28,RYYJJENVUDZMCO-UHFFFAOYSA-N
Sc1ccc(nc1)[C@]1(S)N=N1,-0.24332,-0.08873,1.79,OFJBMRGKMFXQOC-UHFFFAOYSA-N
[O-][N+](=O)c1coc(n1)[C@@]1(N=N1)[N+](=O)[O-],-0.31572,-0.12450,3.46,JPIGCUPCUXNSSH-UHFFFAOYSA-N
ClC1=CC=C(C1)[C@]1(Cl)N=N1,-0.23903,-0.09160,1.57,AUHXASBOJKVKEA-UHFFFAOYSA-N
Cn1c(ccc1[C@@]1(N=N1)C(F)(F)F)C(F)(F)F,-0.26763,-0.10023,,CVWCIHMZAVMAIC-UHFFFAOYSA-N
FC(OC#C[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.30138,-0.10346,,YYOKSVUPZSHXEG-UHFFFAOYSA-N
Fc1coc(n1)[C@]1(F)N=N1,-0.27658,-0.10638,2.61,XQGXFJJBYKALIK-UHFFFAOYSA-N
Cc1cnc(s1)[C@]1(C)N=N1,-0.25066,-0.08317,1.83,HQKAQFXKDDDRRA-UHFFFAOYSA-N
FC1(F)N=N1,-0.32691,-0.11314,4.0,FADBWTVPDJZQOE-UHFFFAOYSA-N
O=Cn1c(C#N)ccc1[C@]1(C#N)N=N1,-0.28080,-0.10717,2.55,XAUGSJLRJBNJBS-UHFFFAOYSA-N
Cn1c(S)ccc1[C@]1(S)N=N1,-0.23525,-0.08616,1.14,BHSLUBYNQGBIIN-UHFFFAOYSA-N
Cc1ccc(o1)[C@]1(C)N=N1,-0.23044,-0.07476,1.34,ULAPAMUJTGYXPK-UHFFFAOYSA-N
S/N=C/[C@]1(S)N=N1,-0.25587,-0.08566,2.09,IYXOXSZWCHRDBJ-UHFFFAOYSA-N
FC1=CC=C(C1)[C@]1(F)N=N1,-0.23949,-0.09118,1.61,NWTVUGLGZMCHKI-UHFFFAOYSA-N
FC(/C=C\[C@@]1(N=N1)C(F)(F)F)(F)F,-0.30492,-0.10438,3.45,WQYHEZANLNWFKU-UHFFFAOYSA-N
Oc1cnc(o1)[C@]1(O)N=N1,-0.24760,-0.09026,1.82,RQTAFCVNGSTPDB-UHFFFAOYSA-N
c1ccc([nH]1)[C@@H]1N=N1,-0.22691,-0.07825,1.27,YFXOZWBVNXKPLD-UHFFFAOYSA-N
[O-][N+](=O)/N=C\[C@@]1(N=N1)[N+](=O)[O-],-0.34148,-0.13095,3.69,SMEOKADIKUGGPQ-UHFFFAOYSA-N
Sc1cnc(nc1)[C@]1(S)N=N1,-0.25014,-0.08724,2.05,VYJZPPKECZDVCO-UHFFFAOYSA-N
Fc1ccc([nH]1)[C@]1(F)N=N1,-0.23863,-0.09407,1.59,ZEQJMPVEKYRVSD-UHFFFAOYSA-N
FC(c1ccc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29488,-0.10009,3.13,XQFPONIHCGDLKU-UHFFFAOYSA-N
Fc1ccc(s1)[C@]1(F)N=N1,-0.25491,-0.09698,1.99,KBRZVNHSPYSMKA-UHFFFAOYSA-N
Cc1cnc(o1)[C@]1(C)N=N1,-0.25031,-0.08233,1.83,UEUSUSMWZMXYRD-UHFFFAOYSA-N
Fc1ccc(cc1)[C@]1(F)N=N1,-0.26734,-0.09625,2.35,KDMLHGDHICZGAW-UHFFFAOYSA-N
FC1=CC=C(S1(=O)=O)[C@]1(F)N=N1,-0.27995,-0.10947,2.68,FKSZKTDIWCRBOE-UHFFFAOYSA-N
Oc1cnc(nc1)[C@]1(O)N=N1,-0.26270,-0.08379,2.24,FLRPEPFPWMZKJY-UHFFFAOYSA-N
Clc1c[nH]c(c1)[C@]1(Cl)N=N1,-0.24276,-0.09507,1.65,CAHFMHPGCFETPL-UHFFFAOYSA-N
Clc1ncc([nH]1)[C@]1(Cl)N=N1,-0.25595,-0.09819,2.01,KGTPITGDDKVHBS-UHFFFAOYSA-N
Clc1coc(n1)[C@]1(Cl)N=N1,-0.27165,-0.10325,2.45,JGOURJXEELFIQX-UHFFFAOYSA-N
Clc1cnc(nc1)[C@]1(Cl)N=N1,-0.28517,-0.09841,2.85,GIVSKCIJIYJETF-UHFFFAOYSA-N
Sc1ccc(o1)[C@]1(S)N=N1,-0.24556,-0.08840,1.29,ZQPOTDXQUCATOH-UHFFFAOYSA-N
SC1=CC=C(S1(=O)=O)[C@]1(S)N=N1,-0.25453,-0.10170,1.91,VVATVIDZUSEQAU-UHFFFAOYSA-N
Oc1ccc(o1)[C@]1(O)N=N1,-0.22800,-0.08287,1.28,YZLFRTJVBQHTHY-UHFFFAOYSA-N
ClC1=CC=C(S1(=O)=O)[C@]1(Cl)N=N1,-0.27406,-0.11101,2.51,PBFSRJWAYNIEPO-UHFFFAOYSA-N
FC(C1=CC=C(S1(=O)=O)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29607,-0.12785,3.13,CBDYBLAQSSFLSE-UHFFFAOYSA-N
N#Cc1coc(n1)[C@]1(C#N)N=N1,-0.29317,-0.11398,3.08,OLKVKTVHTBTHGV-UHFFFAOYSA-N
Clc1csc(n1)[C@]1(Cl)N=N1,-0.26788,-0.10062,2.33,QFMKQKSDUFYTCI-UHFFFAOYSA-N
Fc1ccc(nc1)[C@]1(F)N=N1,-0.27796,-0.09499,2.64,MGCNBKSGJJONKA-UHFFFAOYSA-N
[O-][N+](=O)C1(N=N1)[N+](=O)[O-],-0.35748,-0.14072,4.56,RCXJLMOXZUONKF-UHFFFAOYSA-N
N#C/C=C\[C@]1(C#N)N=N1,-0.29672,-0.11487,3.17,LXMPZJIPAPJLED-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(n1C)[C@@]1(N=N1)[N+](=O)[O-],-0.28211,-0.11721,2.63,UJBZLGCKTGMOBR-UHFFFAOYSA-N
Cl/N=C\[C@]1(Cl)N=N1,-0.29782,-0.10149,3.16,GSYMHWKULSIHAR-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(nc1)[C@@]1(N=N1)[N+](=O)[O-],-0.31002,-0.12326,3.44,GUPDNHRKPLXXFK-UHFFFAOYSA-N
O=Cn1cccc1[C@@H]1N=N1,-0.24288,-0.07735,1.65,YTLNUZSNEHTRQT-UHFFFAOYSA-N
Cc1ccc([nH]1)[C@]1(C)N=N1,-0.21776,-0.07476,1.0,JVIAWTOETIGNIE-UHFFFAOYSA-N
SC1(S)N=N1,-0.25973,-0.09208,2.3,JCSOABOKWBYMGA-UHFFFAOYSA-N
[O-][N+](=O)c1csc(n1)[C@@]1(N=N1)[N+](=O)[O-],-0.30059,-0.12064,3.23,ICZJFLQLYLIILS-UHFFFAOYSA-N
Oc1ncc([nH]1)[C@]1(O)N=N1,-0.23480,-0.08605,1.45,IJLZCBITTWMRKI-UHFFFAOYSA-N
FC(O/N=C/[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.31269,-0.11372,3.4,ZXLRBLJZPXWTFE-UHFFFAOYSA-N
Cn1c(Cl)ccc1[C@]1(Cl)N=N1,-0.24231,-0.09517,1.57,OSJGEZJAJVQANY-UHFFFAOYSA-N
Cn1c(F)ccc1[C@]1(F)N=N1,-0.24145,-0.09402,1.51,RMSOSBDUDVEPNP-UHFFFAOYSA-N
N#Cc1ccc(s1)[C@]1(C#N)N=N1,-0.27338,-0.11011,2.5,ARGXWJAMWQYJGG-UHFFFAOYSA-N
c1cnc(nc1)[C@@H]1N=N1,-0.28355,-0.08214,2.81,WZBZECHLFUXAAC-UHFFFAOYSA-N
O=Cn1c(C)ccc1[C@]1(C)N=N1,-0.24371,-0.07825,1.43,IHGRWYYMOVFTTE-UHFFFAOYSA-N
c1coc(c1)[C@@H]1N=N1,-0.24213,-0.07988,1.7,ZWLXMFKMAKBKLY-UHFFFAOYSA-N
N#Cc1csc(n1)[C@]1(C#N)N=N1,-0.28706,-0.10999,2.86,YXXPKOIHKNEONS-UHFFFAOYSA-N
Oc1ccc(s1)[C@]1(O)N=N1,-0.23069,-0.08102,1.32,RLVSSUOLMMPFFA-UHFFFAOYSA-N
FC(c1ncc([nH]1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27434,-0.10489,2.56,GKOPULUCZJLFOP-UHFFFAOYSA-N
Sc1coc(n1)[C@]1(S)N=N1,-0.25293,-0.09469,1.8,DDXKCKBBPAYDGA-UHFFFAOYSA-N
[O-][N+](=O)c1cnc(nc1)[C@@]1(N=N1)[N+](=O)[O-],-0.31555,-0.13134,3.43,FVMWQZWFXGDYMN-UHFFFAOYSA-N
Fc1ncc([nH]1)[C@]1(F)N=N1,-0.25935,-0.09915,2.13,JEYOKIDLPPCNTF-UHFFFAOYSA-N
O=Cn1c(S)ccc1[C@]1(S)N=N1,-0.23475,-0.09070,1.32,RWHUXQJJEVRPRA-UHFFFAOYSA-N
ClC#C[C@]1(Cl)N=N1,-0.28193,-0.09999,2.74,UWMYFXPXONHEAW-UHFFFAOYSA-N
N=C[C@@H]1N=N1,-0.30152,-0.08653,3.24,KHPJYWVSKYTXIO-UHFFFAOYSA-N
[O-][N+](=O)/C=C/[C@@]1(N=N1)[N+](=O)[O-],-0.32451,-0.12844,3.86,VGIHWABVDVIVFK-UHFFFAOYSA-N
