SMILES,HOMO,LUMO
CC1=CC=C(S1(=O)=O)[C@]1(C)N=N1,-0.25890,-0.09259
Cc1nnc(nn1)[C@]1(C)N=N1,-0.26303,-0.11760
FC(c1cnc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.28957,-0.10638
Cn1c(O)ccc1[C@]1(O)N=N1,-0.21799,-0.07834
Oc1csc(n1)[C@]1(O)N=N1,-0.24574,-0.08852
N#Cc1ccc(s1)[C@]1(C#N)N=N1,-0.27338,-0.11011
ClC1=CC=C(C1)[C@]1(Cl)N=N1,-0.23903,-0.09160
FC(c1cnc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.30534,-0.10567
OC1(O)N=N1,-0.28536,-0.08540
Fc1csc(n1)[C@]1(F)N=N1,-0.27142,-0.10301
c1ccc(nc1)[C@@H]1N=N1,-0.26809,-0.08307
Cn1c(S)ccc1[C@]1(S)N=N1,-0.23525,-0.08616
FC(Oc1ncc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.25957,-0.10121
Cc1cnc(nc1)[C@]1(C)N=N1,-0.26859,-0.07751
N#CC#C[C@]1(C#N)N=N1,-0.31233,-0.11863
Fc1ccc(o1)[C@]1(F)N=N1,-0.25336,-0.09853
S/C=C/[C@]1(S)N=N1,-0.24905,-0.08587
Clc1c[nH]c(c1)[C@]1(Cl)N=N1,-0.24276,-0.09507
FC(C1=CC=C(S1(=O)=O)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29607,-0.12785
N#Cc1ncc([nH]1)[C@]1(C#N)N=N1,-0.27414,-0.11330
Cn1c(ccc1[C@@]1(N=N1)C(F)(F)F)C(F)(F)F,-0.26763,-0.10023
C/C=C\[C@]1(C)N=N1,-0.24950,-0.06870
[O-][N+](=O)C#C[C@@]1(N=N1)[N+](=O)[O-],-0.33937,-0.13949
Clc1ccc(o1)[C@]1(Cl)N=N1,-0.25026,-0.09782
c1ccc(cc1)[C@@H]1N=N1,-0.25608,-0.07832
Sc1coc(n1)[C@]1(S)N=N1,-0.25293,-0.09469
FC(C1(N=N1)C(F)(F)F)(F)F,-0.35470,-0.11639
N#CC1(C#N)N=N1,-0.33722,-0.12339
Oc1nnc(nn1)[C@]1(O)N=N1,-0.28220,-0.13085
Oc1ccc(nc1)[C@]1(O)N=N1,-0.25191,-0.08395
C/N=C\[C@]1(C)N=N1,-0.27647,-0.07332
N#Cc1ccc(nc1)[C@]1(C#N)N=N1,-0.29254,-0.10633
Cn1c(C)ccc1[C@]1(C)N=N1,-0.22322,-0.07228
FC1(F)N=N1,-0.32691,-0.11314
Sc1nnc(nn1)[C@]1(S)N=N1,-0.26495,-0.12746
Sc1cnc(o1)[C@]1(S)N=N1,-0.25912,-0.09430
FC(c1c[nH]c(c1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.25701,-0.09945
FC(/N=C\[C@@]1(N=N1)C(F)(F)F)(F)F,-0.33692,-0.10978
Sc1ccc(s1)[C@]1(S)N=N1,-0.24729,-0.08799
OC1=CC=C(C1)[C@]1(O)N=N1,-0.21529,-0.07829
FC1=CC=C(S1(=O)=O)[C@]1(F)N=N1,-0.27995,-0.10947
Oc1cnc(nc1)[C@]1(O)N=N1,-0.26270,-0.08379
FC(Oc1ccc(cc1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27863,-0.10116
[O-][N+](=O)c1c[nH]c(c1)[C@@]1(N=N1)[N+](=O)[O-],-0.27182,-0.11740
[O-][N+](=O)c1cnc(nc1)[C@@]1(N=N1)[N+](=O)[O-],-0.31555,-0.13134
[O-][N+](=O)c1ccc(o1)[C@@]1(N=N1)[N+](=O)[O-],-0.28960,-0.12258
[O-][N+](=O)c1ccc(cc1)[C@@]1(N=N1)[N+](=O)[O-],-0.30399,-0.11743
Clc1cnc(nc1)[C@]1(Cl)N=N1,-0.28517,-0.09841
FC(c1ncc([nH]1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27434,-0.10489
N1=NC1,-0.30009,-0.07232
Fc1cnc(s1)[C@]1(F)N=N1,-0.27064,-0.10090
Cl/N=C\[C@]1(Cl)N=N1,-0.29782,-0.10149
[O-][N+](=O)c1ccc(nc1)[C@@]1(N=N1)[N+](=O)[O-],-0.31002,-0.12326
FC(OC1=CC=C(C1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.24228,-0.09439
N#Cc1ccc(o1)[C@]1(C#N)N=N1,-0.27183,-0.10985
Cc1coc(n1)[C@]1(C)N=N1,-0.25367,-0.08301
Clc1ccc([nH]1)[C@]1(Cl)N=N1,-0.23767,-0.09399
FC(Oc1cnc(nc1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.30111,-0.10379
Cc1cnc(s1)[C@]1(C)N=N1,-0.25066,-0.08317
O=Cn1c(F)ccc1[C@]1(F)N=N1,-0.26362,-0.09563
FC(C#C[C@@]1(N=N1)C(F)(F)F)(F)F,-0.31868,-0.11204
O=S1(=O)C=CC=C1[C@@H]1N=N1,-0.27100,-0.09978
F/N=C/[C@]1(F)N=N1,-0.31553,-0.10645
[O-][N+](=O)c1csc(n1)[C@@]1(N=N1)[N+](=O)[O-],-0.30059,-0.12064
O=Cn1c(C)ccc1[C@]1(C)N=N1,-0.24371,-0.07825
O=Cn1c(O)ccc1[C@]1(O)N=N1,-0.23571,-0.08016
Oc1ncc([nH]1)[C@]1(O)N=N1,-0.23480,-0.08605
C#C[C@@H]1N=N1,-0.28074,-0.08373
C1=CC=C(C1)[C@@H]1N=N1,-0.22791,-0.07517
N#Cc1cnc(nc1)[C@]1(C#N)N=N1,-0.30766,-0.11190
Fc1c[nH]c(c1)[C@]1(F)N=N1,-0.24309,-0.09599
SC1=CC=C(C1)[C@]1(S)N=N1,-0.21586,-0.07999
S/N=C/[C@]1(S)N=N1,-0.25587,-0.08566
SC1(S)N=N1,-0.25973,-0.09208
Fc1ncc([nH]1)[C@]1(F)N=N1,-0.25935,-0.09915
Clc1coc(n1)[C@]1(Cl)N=N1,-0.27165,-0.10325
N#CC1=CC=C(S1(=O)=O)[C@]1(C#N)N=N1,-0.29407,-0.13728
Sc1ccc([nH]1)[C@]1(S)N=N1,-0.23607,-0.08462
FC(c1ccc(o1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27291,-0.10517
[O-][N+](=O)c1coc(n1)[C@@]1(N=N1)[N+](=O)[O-],-0.31572,-0.12450
Cc1ccc([nH]1)[C@]1(C)N=N1,-0.21776,-0.07476
Cc1ccc(nc1)[C@]1(C)N=N1,-0.25619,-0.07905
CC1(C)N=N1,-0.27436,-0.06871
N#CC1=CC=C(C1)[C@]1(C#N)N=N1,-0.25858,-0.10660
N#Cc1cnc(s1)[C@]1(C#N)N=N1,-0.28703,-0.11259
Fc1ccc(s1)[C@]1(F)N=N1,-0.25491,-0.09698
Fc1ccc(cc1)[C@]1(F)N=N1,-0.26734,-0.09625
Clc1ncc([nH]1)[C@]1(Cl)N=N1,-0.25595,-0.09819
N=C[C@@H]1N=N1,-0.30152,-0.08653
Clc1cnc(s1)[C@]1(Cl)N=N1,-0.26594,-0.09955
O/C=C\[C@]1(O)N=N1,-0.24403,-0.08516
Fc1nnc(nn1)[C@]1(F)N=N1,-0.29348,-0.14209
n1cc([nH]c1)[C@@H]1N=N1,-0.24433,-0.08256
[O-][N+](=O)c1cnc(s1)[C@@]1(N=N1)[N+](=O)[O-],-0.30275,-0.12996
FC(c1ccc(s1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.27468,-0.10556
[O-][N+](=O)c1cnc(o1)[C@@]1(N=N1)[N+](=O)[O-],-0.31628,-0.13111
FC(C1=CC=C(C1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.25868,-0.10082
Cc1ccc(cc1)[C@]1(C)N=N1,-0.24592,-0.07448
N#C/C=C\[C@]1(C#N)N=N1,-0.29672,-0.11487
FC(c1ccc([nH]1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.25911,-0.10071
Fc1ccc(nc1)[C@]1(F)N=N1,-0.27796,-0.09499
FC(Oc1cnc(o1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.28349,-0.10739
c1csc(n1)[C@@H]1N=N1,-0.26138,-0.08720
N#Cc1cnc(o1)[C@]1(C#N)N=N1,-0.29229,-0.11607
N1=N[C@@H]1c1nncnn1,-0.27131,-0.12303
Sc1ncc([nH]1)[C@]1(S)N=N1,-0.23288,-0.08620
N#Cc1nnc(nn1)[C@]1(C#N)N=N1,-0.29712,-0.14725
Oc1coc(n1)[C@]1(O)N=N1,-0.25231,-0.09203
FC(Oc1cnc(s1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.28096,-0.10963
Fc1cnc(nc1)[C@]1(F)N=N1,-0.29313,-0.09930
c1csc(c1)[C@@H]1N=N1,-0.24545,-0.07827
c1coc(n1)[C@@H]1N=N1,-0.26371,-0.08695
FC1=CC=C(C1)[C@]1(F)N=N1,-0.23949,-0.09118
FC(Oc1ccc(o1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.26282,-0.10264
Oc1ccc(cc1)[C@]1(O)N=N1,-0.24252,-0.08073
FC(Oc1csc(n1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27465,-0.10555
FC(c1ccc(cc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29566,-0.09910
CC#C[C@]1(C)N=N1,-0.26120,-0.07684
Sc1ccc(nc1)[C@]1(S)N=N1,-0.24332,-0.08873
Clc1ccc(nc1)[C@]1(Cl)N=N1,-0.27358,-0.09417
N#Cc1coc(n1)[C@]1(C#N)N=N1,-0.29317,-0.11398
Clc1ccc(s1)[C@]1(Cl)N=N1,-0.25242,-0.09676
Cn1c(Cl)ccc1[C@]1(Cl)N=N1,-0.24231,-0.09517
C=C[C@@H]1N=N1,-0.26290,-0.07841
ClC1=CC=C(S1(=O)=O)[C@]1(Cl)N=N1,-0.27406,-0.11101
CC1=CC=C(C1)[C@]1(C)N=N1,-0.21864,-0.07158
Cc1c[nH]c(c1)[C@]1(C)N=N1,-0.22213,-0.07534
N#Cc1c[nH]c(c1)[C@]1(C#N)N=N1,-0.25917,-0.10448
OC#C[C@]1(O)N=N1,-0.26704,-0.08253
SC#C[C@]1(S)N=N1,-0.25798,-0.09121
FC(c1cnc(o1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29551,-0.11031
Clc1csc(n1)[C@]1(Cl)N=N1,-0.26788,-0.10062
Oc1c[nH]c(c1)[C@]1(O)N=N1,-0.22128,-0.08123
FC#C[C@]1(F)N=N1,-0.29336,-0.10045
Oc1ccc([nH]1)[C@]1(O)N=N1,-0.21468,-0.08107
ClC1(Cl)N=N1,-0.30666,-0.10714
[O-][N+](=O)c1ccc(s1)[C@@]1(N=N1)[N+](=O)[O-],-0.28858,-0.12624
FC(Oc1c[nH]c(c1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.25118,-0.09927
[O-][N+](=O)C1(N=N1)[N+](=O)[O-],-0.35748,-0.14072
O=Cn1c(Cl)ccc1[C@]1(Cl)N=N1,-0.25900,-0.09563
F/C=C\[C@]1(F)N=N1,-0.27724,-0.09663
Oc1ccc(s1)[C@]1(O)N=N1,-0.23069,-0.08102
Cn1c(F)ccc1[C@]1(F)N=N1,-0.24145,-0.09402
Oc1cnc(s1)[C@]1(O)N=N1,-0.24754,-0.08904
Oc1cnc(o1)[C@]1(O)N=N1,-0.24760,-0.09026
[O-][N+](=O)c1nnc(nn1)[C@@]1(N=N1)[N+](=O)[O-],-0.30592,-0.15237
FC(Oc1coc(n1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.28042,-0.11029
O=Cn1c(S)ccc1[C@]1(S)N=N1,-0.23475,-0.09070
Clc1ccc(cc1)[C@]1(Cl)N=N1,-0.26485,-0.09679
FC(Oc1ccc(s1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.26516,-0.10356
Cn1c(ccc1[C@@]1(N=N1)OC(F)(F)F)OC(F)(F)F,-0.25461,-0.09797
O=Cn1c(ccc1[C@@]1(N=N1)OC(F)(F)F)OC(F)(F)F,-0.27296,-0.09914
O=Cn1c(ccc1[C@@]1(N=N1)[N+](=O)[O-])[N+](=O)[O-],-0.29672,-0.12654
[O-][N+](=O)/N=C\[C@@]1(N=N1)[N+](=O)[O-],-0.34148,-0.13095
Sc1ccc(cc1)[C@]1(S)N=N1,-0.23695,-0.08637
N#Cc1ccc(cc1)[C@]1(C#N)N=N1,-0.28330,-0.10852
Fc1cnc(o1)[C@]1(F)N=N1,-0.27390,-0.10446
[O-][N+](=O)C1=CC=C(S1(=O)=O)[C@@]1(N=N1)[N+](=O)[O-],-0.30952,-0.15378
FC(c1coc(n1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29427,-0.10952
FC(Oc1ccc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.24890,-0.09852
Cc1cnc(o1)[C@]1(C)N=N1,-0.25031,-0.08233
[O-][N+](=O)c1ccc(n1C)[C@@]1(N=N1)[N+](=O)[O-],-0.28211,-0.11721
Cc1ccc(s1)[C@]1(C)N=N1,-0.23532,-0.07411
Cc1csc(n1)[C@]1(C)N=N1,-0.25126,-0.08355
Cc1ccc(o1)[C@]1(C)N=N1,-0.23044,-0.07476
Sc1c[nH]c(c1)[C@]1(S)N=N1,-0.23675,-0.08429
ClC#C[C@]1(Cl)N=N1,-0.28193,-0.09999
Cl/C=C/[C@]1(Cl)N=N1,-0.27239,-0.09871
Cc1ncc([nH]1)[C@]1(C)N=N1,-0.23574,-0.07932
[O-][N+](=O)/C=C/[C@@]1(N=N1)[N+](=O)[O-],-0.32451,-0.12844
FC(c1nnc(nn1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29281,-0.14358
SC1=CC=C(S1(=O)=O)[C@]1(S)N=N1,-0.25453,-0.10170
Sc1cnc(nc1)[C@]1(S)N=N1,-0.25014,-0.08724
Clc1cnc(o1)[C@]1(Cl)N=N1,-0.26742,-0.10205
FC(O/C=C\[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27899,-0.10130
FC(OC1=CC=C(S1(=O)=O)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.27939,-0.11766
N#Cc1ccc([nH]1)[C@]1(C#N)N=N1,-0.25882,-0.10971
FC(/C=C\[C@@]1(N=N1)C(F)(F)F)(F)F,-0.30492,-0.10438
c1cnc(nc1)[C@@H]1N=N1,-0.28355,-0.08214
O=Cn1c(C#N)ccc1[C@]1(C#N)N=N1,-0.28080,-0.10717
FC(OC1(N=N1)OC(F)(F)F)(F)F,-0.33562,-0.11616
[O-][N+](=O)c1ccc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-0.27630,-0.12320
[O-][N+](=O)c1ncc([nH]1)[C@@]1(N=N1)[N+](=O)[O-],-0.28988,-0.12822
FC(c1ccc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.29488,-0.10009
Fc1coc(n1)[C@]1(F)N=N1,-0.27658,-0.10638
Clc1nnc(nn1)[C@]1(Cl)N=N1,-0.28662,-0.13750
O=Cn1c(ccc1[C@@]1(N=N1)C(F)(F)F)C(F)(F)F,-0.28453,-0.09879
O/N=C/[C@]1(O)N=N1,-0.27162,-0.09045
c1ccc([nH]1)[C@@H]1N=N1,-0.22691,-0.07825
Sc1cnc(s1)[C@]1(S)N=N1,-0.25579,-0.09446
Cn1cccc1[C@@H]1N=N1,-0.22553,-0.07379
FC(c1csc(n1)[C@@]1(N=N1)C(F)(F)F)(F)F,-0.28845,-0.10501
N#C/N=C/[C@]1(C#N)N=N1,-0.32247,-0.11870
O=Cn1cccc1[C@@H]1N=N1,-0.24288,-0.07735
N#Cc1csc(n1)[C@]1(C#N)N=N1,-0.28706,-0.10999
FC(OC#C[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.30138,-0.10346
Oc1ccc(o1)[C@]1(O)N=N1,-0.22800,-0.08287
N#Cc1ccc(n1C)[C@]1(C#N)N=N1,-0.26290,-0.10580
FC(Oc1nnc(nn1)[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.29124,-0.14107
Fc1ccc([nH]1)[C@]1(F)N=N1,-0.23863,-0.09407
Sc1csc(n1)[C@]1(S)N=N1,-0.24254,-0.09424
[O-][N+](=O)C1=CC=C(C1)[C@@]1(N=N1)[N+](=O)[O-],-0.27571,-0.12330
OC1=CC=C(S1(=O)=O)[C@]1(O)N=N1,-0.25586,-0.09305
Sc1ccc(o1)[C@]1(S)N=N1,-0.24556,-0.08840
c1coc(c1)[C@@H]1N=N1,-0.24213,-0.07988
FC(O/N=C/[C@@]1(N=N1)OC(F)(F)F)(F)F,-0.31269,-0.11372
